557	19981009T0900	 10.10	  2.50
558	19981009T2100	 13.40	 10.10
559	19981010T0900	 10.80	  8.60
560	19981010T2100	 11.90	  7.30
561	19981011T0900	 13.20	  8.80
562	19981011T2100	 12.20	  8.20
563	19981012T0900	  9.70	  7.00
564	19981012T2100	 11.80	  7.10
565	19981013T0900	 12.00	  7.00
566	19981013T2100	 14.20	 12.00
567	19981014T0900	 14.40	 10.90
568	19981014T2100	 12.60	  7.70
569	19981015T0900	  9.50	  7.70
570	19981015T2100	 11.70	  6.10
571	19981016T0900	  9.40	  4.90
572	19981016T2100	 14.50	  9.40
573	19981017T0900	 11.40	  7.10
574	19981017T2100	  9.10	  3.20
575	19981018T0900	  4.90	  0.20
576	19981018T2100	  9.60	  4.70
577	19981019T0900	  6.60	  4.40
578	19981019T2100	  9.50	  6.00
579	19981020T0900	  7.10	  5.40
580	19981020T2100	 10.20	  6.40
581	19981021T0900	 12.90	  9.70
582	19981021T2100	 13.00	 12.00
583	19981022T0900	 13.70	 12.20
584	19981022T2100	 15.00	 12.30
585	19981023T0900	 13.50	 10.60
586	19981023T2100	 11.00	  4.70
587	19981024T0900	  9.20	  4.40
588	19981024T2100	 11.30	  8.20
589	19981025T0900	  9.60	  5.60
590	19981025T2100	  8.40	  4.90
591	19981026T0900	  6.40	  4.40
592	19981026T2100	  8.60	  5.10
593	19981027T0900	 12.20	  6.40
594	19981027T2100	 12.70	  8.80
595	19981028T0900	 12.40	  6.40
596	19981028T2100	  8.60	  6.40
597	19981029T0900	  7.20	  4.90
598	19981029T2100	  7.80	  4.90
599	19981030T0900	  7.20	  5.10
600	19981030T2100	  8.50	  5.10
601	19981031T0900	  6.70	  5.50
602	19981031T2100	  7.10	  5.40
603	19981101T0900	  5.40	  2.40
604	19981101T2100	  8.00	  3.90
605	19981102T0900	  5.40	  3.70
606	19981102T2100	  6.70	  4.80
607	19981103T0900	  5.30	  4.10
608	19981103T2100	  6.40	  4.30
609	19981104T0900	  4.30	 -0.10
610	19981104T2100	  5.20	  0.50
611	19981105T0900	  6.20	  0.70
