 ID        IDTYPE  MET_DOM     YEAR     MON     DAY    TIME   COUNT   MAX_T   MIN_T  MIN_GRASS_T  MIN_CONC_T
 7948      DCNN        NCM     1998       6      25     900      12     122      95           88        -999
 7948      DCNN        NCM     1998       6      25    2100      12     150     102         -999        -999
 7948      DCNN        NCM     1998       6      26     900      12     107      94           81        -999
 7948      DCNN        NCM     1998       6      26    2100      12     126     104         -999        -999
 7948      DCNN        NCM     1998       6      27     900      12     113      89           80        -999
 7948      DCNN        NCM     1998       6      27    2100      12     140      96         -999        -999
 7948      DCNN        NCM     1998       6      28     900      12     134      83           43        -999
 7948      DCNN        NCM     1998       6      28    2100      12     154     109         -999        -999
 7948      DCNN        NCM     1998       6      29     900      12     115      98           86        -999
 7948      DCNN        NCM     1998       6      29    2100      12     137     109         -999        -999
 7948      DCNN        NCM     1998       6      30     900      12     123      74           10        -999
 7948      DCNN        NCM     1998       6      30    2100      12     155     107         -999        -999
 7948      DCNN        NCM     1998       7       1     900      12     145      91           38        -999
 7948      DCNN        NCM     1998       7       1    2100      12     165     128         -999        -999
 7948      DCNN        NCM     1998       7       2     900      12     128      97           91        -999
 7948      DCNN        NCM     1998       7       2    2100      12     149      97         -999        -999
 7948      DCNN        NCM     1998       7       3     900      12     151     107           83        -999
 7948      DCNN        NCM     1998       7       4     900      12     131      98           51        -999
 7948      DCNN        NCM     1998       7       4    2100      12     163     119         -999        -999
 7948      DCNN        NCM     1998       7       5     900      12     145     117           95        -999
 7948      DCNN        NCM     1998       7       5    2100      12     169     125         -999        -999
 7948      DCNN        NCM     1998       7       6     900      12     135     122          124        -999
 7948      DCNN        NCM     1998       7       6    2100      12     162     108         -999        -999
 7948      DCNN        NCM     1998       7       7     900      12     146      94           54        -999
 7948      DCNN        NCM     1998       7       7    2100      12     162      96         -999        -999
 7948      DCNN        NCM     1998       7       8     900      12     124      83           55        -999
 7948      DCNN        NCM     1998       7       8    2100      12     146     117         -999        -999
 7948      DCNN        NCM     1998       7       9     900      12     143     121          115        -999
 7948      DCNN        NCM     1998       7       9    2100      12     169     110         -999        -999
 7948      DCNN        NCM     1998       7      10     900      12     150      95           51        -999
 7948      DCNN        NCM     1998       7      10    2100      12     166     119         -999        -999
 7948      DCNN        NCM     1998       7      11     900      12     133     103           82        -999
 7948      DCNN        NCM     1998       7      11    2100      12     134     120         -999        -999
 7948      DCNN        NCM     1998       7      12     900      12     150     122          125        -999
 7948      DCNN        NCM     1998       7      12    2100      12     152     102         -999        -999
 7948      DCNN        NCM     1998       7      13     900      12     108      85           60        -999
 7948      DCNN        NCM     1998       7      13    2100      12     131      97         -999        -999
 7948      DCNN        NCM     1998       7      14     900      12     121      96           76        -999
 7948      DCNN        NCM     1998       7      14    2100      12     135      99         -999        -999
 7948      DCNN        NCM     1998       7      15     900      12     122      98           89        -999
 7948      DCNN        NCM     1998       7      15    2100      12     151     112         -999        -999
 7948      DCNN        NCM     1998       7      16     900      12     152      86           26        -999
 7948      DCNN        NCM     1998       7      16    2100      12     177     109         -999        -999
 7948      DCNN        NCM     1998       7      17     900      12     127     108           90        -999
 7948      DCNN        NCM     1998       7      17    2100      12     149      98         -999        -999
 7948      DCNN        NCM     1998       7      18     900      12     115      95           69        -999
 7948      DCNN        NCM     1998       7      18    2100      12     148     111         -999        -999
 7948      DCNN        NCM     1998       7      19     900      12     118     100           72        -999
 7948      DCNN        NCM     1998       7      19    2100      12     174     116         -999        -999
 7948      DCNN        NCM     1998       7      20     900      12     158     134          134        -999
 7948      DCNN        NCM     1998       7      20    2100      12     181     145         -999        -999
